month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
Mar '19,709.97,--,709.97,--,--,--,--,117.24,9.72,--,--,--,8.90,--,62.06,512.06,1.00,513.06,255.37,257.69,--,257.69,81.78,175.91,--,--,175.91,78.11,"1,758.85",--,23.65,23.08,23.65,23.08,--,--,--,--,--,--,--,--,AAVAS FINANCIER
Mar '18,456.34,--,456.34,--,--,--,--,73.36,5.63,--,--,--,1.90,--,45.55,329.90,0.91,330.81,189.05,141.75,--,141.75,48.82,92.93,--,--,92.93,69.17,"1,120.49",--,15.87,15.21,15.87,15.21,--,--,--,--,--,--,--,--,AAVAS FINANCIER
Mar '17,305.13,--,305.13,--,--,--,--,43.05,2.77,--,--,--,6.68,--,21.52,231.11,0.36,231.47,142.82,88.65,--,88.65,30.80,57.85,--,--,57.85,58.16,508.16,--,11.24,11.24,11.24,11.24,--,--,--,--,--,--,--,--,AAVAS FINANCIER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAVAS FINANCIER
Mar '21,107.89,--,107.89,--,--,--,--,21.98,1.35,--,--,--,0.34,--,12.67,71.55,0.88,72.43,0.14,72.29,--,72.29,-0.74,73.03,--,--,73.03,"2,415.28","6,962.29",--,0.30,0.30,0.30,0.30,--,--,--,--,--,--,--,--,AB CAPITAL
Mar '20,199.82,--,199.82,--,--,--,--,22.03,1.28,--,--,--,-0.05,--,44.18,132.38,1.46,133.84,77.02,56.82,-29.17,27.65,-2.20,29.85,--,--,29.85,"2,413.76","6,869.96",--,0.13,0.13,0.13,0.13,--,--,--,--,--,--,--,--,AB CAPITAL
Mar '19,177.78,--,177.78,--,--,--,--,27.05,0.87,--,--,--,--,--,43.36,106.50,0.71,107.21,88.53,18.68,-30.32,-11.64,-2.04,-9.60,--,--,-9.60,"2,201.40","4,920.37",--,-0.04,-0.04,-0.04,-0.04,--,--,--,--,--,--,--,--,AB CAPITAL
Mar '18,174.79,--,174.79,--,--,--,--,22.27,0.49,--,--,--,--,--,65.62,86.41,0.46,86.87,25.38,61.49,--,61.49,--,61.49,--,--,61.49,"2,201.04","4,927.85",--,0.32,0.31,0.32,0.31,--,--,--,--,--,--,--,--,AB CAPITAL
Mar '17,34.99,--,34.99,--,--,--,--,24.45,0.14,--,--,--,--,--,5.66,4.74,0.03,4.77,0.53,4.24,--,4.24,--,4.24,--,--,4.24,"1,232.24","3,378.66",--,0.05,0.05,0.05,0.05,--,--,--,--,--,--,--,--,AB CAPITAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB CAPITAL
