month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYER CROPSCIEN
Mar '21,"3,557.21",--,"3,557.21","2,038.25",--,0.86,--,848.65,70.68,--,--,--,--,--,527.00,71.77,60.16,131.93,39.12,92.81,--,92.81,18.01,74.80,--,--,74.80,41.77,"2,182.68",60.00,17.96,17.96,17.96,17.96,--,--,--,--,--,--,--,--,BEML
Mar '20,"3,028.82",--,"3,028.82","1,890.51",--,-291.94,--,843.87,71.30,--,--,--,--,--,499.07,16.01,48.55,64.56,40.50,24.06,--,24.06,-44.32,68.38,--,--,68.38,41.77,"2,215.38",60.00,16.42,16.42,16.42,16.42,--,--,--,--,--,--,--,--,BEML
Mar '19,"3,481.06",--,"3,481.06","1,970.62",--,14.23,--,801.93,69.58,--,--,--,--,--,457.47,167.23,23.12,190.35,59.39,130.96,--,130.96,67.47,63.49,--,--,63.49,41.64,"2,145.47",70.00,15.24,15.24,15.24,15.24,--,--,--,--,--,--,--,--,BEML
Mar '18,"3,305.42",--,"3,305.42","1,725.44",--,18.66,--,808.50,64.24,--,--,--,--,--,501.60,186.98,24.90,211.88,48.08,163.80,--,163.80,34.35,129.45,--,--,129.45,41.77,"2,158.46",80.00,31.08,31.08,31.08,31.08,--,--,--,--,--,--,--,--,BEML
Mar '17,"2,834.66",--,"2,834.66","1,347.58",--,-125.09,--,780.72,61.98,--,--,--,--,--,685.83,83.64,62.45,146.09,47.80,98.29,--,98.29,13.85,84.44,--,--,84.44,41.77,"2,139.78",80.00,20.28,20.28,20.28,20.28,--,--,--,--,--,--,--,--,BEML
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEML
Mar '21,"6,021.41",--,"6,021.41","3,057.94",564.41,-183.77,--,352.71,186.12,--,--,--,--,--,"1,133.17",910.83,55.77,966.60,33.22,933.38,-14.80,918.58,237.80,680.78,--,--,680.78,97.13,"3,182.48",280.00,7.16,7.16,7.16,7.16,--,--,--,--,--,--,--,--,BERGER PAINTS
Mar '20,"5,691.69",--,"5,691.69","2,902.53",481.60,-16.81,--,342.52,170.52,--,--,--,--,--,"1,024.05",787.28,150.82,938.10,32.68,905.42,--,905.42,206.37,699.05,--,--,699.05,97.12,"2,527.92",220.00,7.20,7.20,7.20,7.20,--,--,--,--,--,--,--,--,BERGER PAINTS
Mar '19,"5,515.55",--,"5,515.55","3,150.03",432.46,-168.67,--,311.67,122.17,--,--,--,--,--,979.87,688.02,53.63,741.65,20.79,720.86,-28.60,692.26,253.23,439.03,--,--,439.03,97.11,"2,275.24",190.00,4.82,4.82,4.52,4.52,--,--,--,--,--,--,--,--,BERGER PAINTS
Mar '18,"4,723.79",--,"4,723.79","2,470.43",405.57,-87.66,--,269.84,111.92,--,--,--,--,--,922.21,631.48,46.53,678.01,16.20,661.81,--,661.81,229.97,431.84,--,--,431.84,97.10,"2,046.51",180.00,4.45,4.45,4.45,4.45,--,--,--,--,--,--,--,--,BERGER PAINTS
Mar '17,"4,121.53",--,"4,121.53","2,111.25",390.00,-119.28,--,227.92,97.07,--,--,--,--,--,848.80,565.77,48.67,614.44,7.41,607.03,58.67,665.70,219.25,446.45,--,--,446.45,97.10,"1,815.67",175.00,4.20,4.20,4.60,4.60,--,--,--,--,--,--,--,--,BERGER PAINTS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BERGER PAINTS
Mar '21,"1,913.76",--,"1,913.76",970.08,--,-128.91,--,501.09,94.54,--,--,--,--,--,226.78,250.18,94.61,344.79,3.91,340.88,--,340.88,83.12,257.77,--,--,257.77,183.28,"2,501.47",73.50,14.06,14.06,14.06,14.06,--,--,--,--,--,--,--,--,BHARAT DYNAMICS
Mar '20,"2,985.29",109.91,"3,095.20","1,036.07",--,503.66,--,534.03,96.44,--,--,--,--,--,293.87,631.13,115.98,747.11,4.66,742.45,--,742.45,207.55,534.90,--,--,534.90,183.28,"2,423.55",88.00,29.18,29.18,29.18,29.18,--,--,--,--,--,--,--,--,BHARAT DYNAMICS
Mar '19,"2,831.41",237.94,"3,069.35","1,818.97",--,-165.87,--,534.21,82.50,--,--,--,--,--,259.93,539.61,135.99,675.60,4.23,671.36,--,671.36,248.78,422.59,--,--,422.59,183.28,"2,085.26",69.20,23.06,23.06,23.06,23.06,--,--,--,--,--,--,--,--,BHARAT DYNAMICS
Mar '18,"4,318.04",269.56,"4,587.60","2,907.59",--,-53.70,--,529.34,63.48,--,--,--,--,--,536.34,604.54,172.56,777.10,3.28,773.82,--,773.82,245.67,528.15,--,--,528.15,183.28,"1,773.10",72.90,26.65,26.65,26.65,26.65,--,--,--,--,--,--,--,--,BHARAT DYNAMICS
Mar '17,"4,832.76",--,"4,832.76","3,119.24",--,-135.50,--,448.39,62.19,--,--,--,--,--,832.40,506.05,229.82,735.87,3.68,732.19,--,732.19,241.87,490.32,--,--,490.32,122.19,"2,072.79",--,"4,288.95","4,288.95","4,288.95","4,288.95",--,--,--,--,--,--,--,--,BHARAT DYNAMICS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHARAT DYNAMICS
Mar '21,"13,818.16",245.67,"14,063.83","6,723.94","1,233.21",-129.33,--,"1,940.68",366.33,--,--,--,--,--,"1,114.21","2,814.79",126.10,"2,940.89",6.08,"2,934.81",--,"2,934.81",869.39,"2,065.42",--,--,"2,065.42",243.66,"10,564.23",400.00,8.48,8.48,8.48,8.48,--,--,--,--,--,--,--,--,BHARAT ELEC
Mar '20,"12,607.76",313.35,"12,921.11","5,894.76",950.97,259.43,--,"2,057.49",349.64,--,--,--,--,--,"1,028.33","2,380.49",101.94,"2,482.43",3.26,"2,479.17",--,"2,479.17",685.34,"1,793.83",--,--,"1,793.83",243.66,"9,609.28",280.00,7.36,7.36,7.36,7.36,--,--,--,--,--,--,--,--,BHARAT ELEC
Mar '19,"11,789.22",295.38,"12,084.60","5,320.87",759.06,-132.20,--,"1,879.05",316.22,--,--,--,--,--,"1,395.74","2,545.86",169.54,"2,715.40",12.21,"2,703.19",--,"2,703.19",775.90,"1,927.29",--,--,"1,927.29",243.66,"8,775.25",340.00,7.91,7.91,7.91,7.91,--,--,--,--,--,--,--,--,BHARAT ELEC
Mar '18,"10,006.56",315.77,"10,322.33","4,639.46",496.80,378.89,--,"1,772.33",251.00,--,--,--,--,--,"1,035.12","1,748.73",200.38,"1,949.11",1.27,"1,947.84",--,"1,947.84",548.55,"1,399.29",--,--,"1,399.29",243.66,"7,517.35",200.00,5.70,5.70,5.70,5.70,--,--,--,--,--,--,--,--,BHARAT ELEC
Mar '17,"8,296.14",315.74,"8,611.88","4,329.41",502.81,-419.13,--,"1,548.31",191.52,--,--,--,--,--,888.77,"1,570.19",471.01,"2,041.20",11.78,"2,029.42",--,"2,029.42",481.80,"1,547.62",--,--,"1,547.62",223.36,"7,285.18",225.00,6.64,6.64,6.64,6.64,--,--,--,--,--,--,--,--,BHARAT ELEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHARAT ELEC
Mar '21,"3,651.51",--,"3,651.51","1,495.87",--,-81.42,--,448.24,366.08,--,--,--,--,--,"1,061.20",361.55,140.46,502.01,77.92,424.09,-9.18,414.91,102.81,312.09,--,--,312.09,93.13,"5,855.50",100.00,6.70,6.70,6.70,6.70,--,--,--,--,--,--,--,--,BHARAT FORGE
Mar '20,"4,563.88",--,"4,563.88","1,767.55",--,-18.64,--,482.36,344.87,--,--,--,--,--,"1,317.10",670.65,160.89,831.53,145.03,686.51,-93.91,592.59,119.08,473.52,--,--,473.52,93.13,"5,261.94",175.00,931.27,931.27,931.27,931.27,--,--,--,--,--,--,--,--,BHARAT FORGE
Mar '19,"6,519.99",--,"6,519.99","2,556.88",--,-121.21,--,486.29,346.63,--,--,--,--,--,"1,691.93","1,559.47",166.02,"1,725.48",102.41,"1,623.08",--,"1,623.08",551.80,"1,071.28",--,--,"1,071.28",93.13,"5,305.09",250.00,23.00,23.00,23.00,23.00,--,--,--,--,--,--,--,--,BHARAT FORGE
Mar '18,"5,315.97",--,"5,315.97","1,915.17",--,-28.16,--,435.90,306.75,--,--,--,--,--,"1,456.28","1,230.03",118.69,"1,348.72",84.84,"1,263.88",-133.21,"1,130.67",423.37,707.30,--,--,707.30,93.13,"4,521.15",225.00,15.19,15.19,15.19,15.19,--,--,--,--,--,--,--,--,BHARAT FORGE
Mar '17,"3,864.67",--,"3,864.67","1,372.79",--,-52.25,--,375.95,294.85,--,--,--,--,--,"1,095.58",777.75,99.49,877.24,72.77,804.47,38.02,842.49,257.42,585.07,--,--,585.07,46.57,"4,185.36",375.00,25.13,25.13,25.13,25.13,--,--,--,--,--,--,--,--,BHARAT FORGE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHARAT FORGE
Mar '21,"64,325.90",--,"64,325.90",--,--,--,--,"1,664.50","21,997.50",--,"2,064.90",--,--,--,"32,612.40","5,986.60","2,387.90","8,374.50","11,816.70","-3,442.20","-15,023.00","-18,465.20","6,732.40","-25,197.60",--,--,"-25,197.60","2,746.00","74,614.10",--,-46.18,-46.18,-46.18,-46.18,--,--,--,--,--,--,--,--,BHARTI AIRTEL
Mar '20,"54,317.10",--,"54,317.10",--,--,--,--,"1,520.20","20,392.10",--,"1,818.00",--,--,--,"30,845.30",-258.50,313.20,54.70,"9,533.80","-9,479.10","-41,541.80","-51,020.90","-14,932.70","-36,088.20",--,--,"-36,088.20","2,727.80","98,347.20",40.00,-71.08,-71.08,-71.08,-71.08,--,--,--,--,--,--,--,--,BHARTI AIRTEL
Mar '19,"49,608.00",--,"49,608.00",--,--,--,--,"1,471.00","15,087.60",--,"2,561.90",--,--,--,"33,273.50","-2,786.00",250.70,"-2,535.30","5,473.30","-8,008.60","2,804.90","-5,203.70","-3,374.70","-1,829.00",--,--,"-1,829.00","1,998.70","96,307.20",50.00,-4.58,-4.58,-4.58,-4.58,--,--,--,--,--,--,--,--,BHARTI AIRTEL
Mar '18,"53,663.00",--,"53,663.00",--,--,--,--,"1,720.90","13,048.60",--,"3,051.90",--,--,--,"31,085.30","4,756.30",235.60,"4,991.90","5,069.00",-77.10,-604.10,-681.20,-760.40,79.20,--,--,79.20,"1,998.70","100,862.20",106.80,0.20,0.20,0.20,0.20,--,--,--,--,--,--,--,--,BHARTI AIRTEL
Mar '17,"62,276.30",--,"62,276.30",--,--,--,--,"1,738.50","12,203.40",--,--,--,--,--,"36,612.50","11,721.90",184.30,"11,906.20","3,144.90","8,761.30","-17,270.80","-8,509.50","1,416.10","-9,925.60",--,--,"-9,925.60","1,998.70","99,208.60",20.00,-24.84,-24.84,-24.84,-24.84,--,--,--,--,--,--,--,--,BHARTI AIRTEL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHARTI AIRTEL
Mar '21,"17,308.44",--,"17,308.44","11,071.03",--,510.86,--,"5,372.26",473.05,--,--,--,--,--,"3,489.59","-3,608.35",369.84,"-3,238.51",373.09,"-3,611.60",--,"-3,611.60",-894.46,"-2,717.14",--,--,"-2,717.14",696.41,"25,787.64",--,-7.80,-7.80,-7.80,-7.80,--,--,--,--,--,--,--,--,BHEL
Mar '20,"21,486.06",--,"21,486.06","14,727.09",--,"-1,015.53",--,"5,403.47",502.86,--,--,--,--,--,"2,603.91",-735.74,580.58,-155.16,506.95,-662.11,--,-662.11,810.86,"-1,472.97",--,--,"-1,472.97",696.41,"28,484.80",--,-4.23,-4.23,-4.23,-4.23,--,--,--,--,--,--,--,--,BHEL
Mar '19,"29,349.21",999.74,"30,348.95","18,837.30",--,"-1,073.16",--,"6,261.27",474.81,--,--,--,--,--,"4,181.58","1,667.15",677.64,"2,344.79",286.93,"2,057.86",--,"2,057.86",842.47,"1,215.39",--,--,"1,215.39",696.41,"30,735.39",100.00,3.35,3.35,3.35,3.35,--,--,--,--,--,--,--,--,BHEL
Mar '18,"27,963.15",962.56,"28,925.71","15,407.36",--,736.13,--,"6,026.47",786.40,--,--,--,--,--,"4,822.86","1,146.49",693.05,"1,839.54",254.55,"1,584.99",--,"1,584.99",778.39,806.60,--,--,806.60,734.28,"31,866.80",91.00,2.20,2.20,2.20,2.20,--,--,--,--,--,--,--,--,BHEL
Mar '17,"27,587.64",634.57,"28,222.21","16,115.50",--,994.48,--,"5,399.92",848.84,--,--,--,--,--,"4,611.43",252.04,726.40,978.44,350.61,627.83,--,627.83,131.97,495.86,--,--,495.86,489.52,"31,804.92",79.00,2.03,2.03,2.03,2.03,--,--,--,--,--,--,--,--,BHEL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHEL
Mar '21,"2,028.40",--,"2,028.40",760.70,0.90,36.70,--,390.20,103.50,--,--,--,--,--,527.40,209.00,150.20,359.20,0.40,358.80,--,358.80,78.30,280.50,--,--,280.50,600.00,"7,306.20",--,2.36,2.34,2.36,2.34,--,--,--,--,--,--,--,--,BIOCON
Mar '20,"1,988.40",--,"1,988.40",858.20,0.90,-31.40,--,344.80,98.00,--,--,--,--,--,529.90,188.00,201.70,389.70,1.20,388.50,159.70,548.20,111.90,436.30,--,4.60,440.90,600.00,"6,936.40",10.00,3.72,3.71,3.72,3.71,--,--,--,--,--,--,--,--,BIOCON
Mar '19,"2,884.70",--,"2,884.70","1,278.50",125.40,-147.10,--,510.30,147.10,--,--,--,--,--,732.00,238.50,117.50,356.00,2.60,353.40,198.70,552.10,59.40,492.70,--,--,492.70,300.00,"6,814.50",10.00,8.33,8.27,8.33,8.27,--,--,--,--,--,--,--,--,BIOCON
Mar '18,"2,419.20",--,"2,419.20",958.70,92.50,-1.80,--,408.60,136.10,--,--,--,--,--,643.00,182.10,124.70,306.80,1.00,305.80,--,305.80,67.30,238.50,--,--,238.50,300.00,"6,437.70",20.00,4.04,4.02,4.04,4.02,--,--,--,--,--,--,--,--,BIOCON
Mar '17,"2,587.90",--,"2,587.90",991.50,90.20,-46.50,--,365.00,150.60,--,--,--,--,--,595.90,441.20,98.80,540.00,3.80,536.20,--,536.20,16.90,519.30,--,--,519.30,100.00,"6,440.20",20.00,26.45,26.27,26.45,26.27,--,--,--,--,--,--,--,--,BIOCON
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOCON
Mar '21,"4,442.15",--,"4,442.15",959.53,24.67,35.82,817.09,297.65,160.82,--,--,--,--,--,"1,697.73",448.84,111.23,560.07,129.71,430.36,--,430.36,1.85,428.51,--,--,428.51,77.01,"4,750.27",100.00,55.65,55.65,55.65,55.65,--,--,--,--,--,--,--,--,BIRLA CORP
Mar '20,"4,746.60",--,"4,746.60","1,019.55",16.05,-46.11,962.34,298.16,151.18,--,--,--,--,--,"1,821.56",523.87,82.48,606.35,185.23,421.12,--,421.12,105.28,315.84,--,--,315.84,77.01,"4,271.40",75.00,41.02,41.02,41.02,41.02,--,--,--,--,--,--,--,--,BIRLA CORP
Mar '19,"4,423.58",--,"4,423.58",948.33,1.45,16.82,980.25,273.27,148.53,--,--,--,--,--,"1,797.94",256.99,81.08,338.07,178.06,160.01,--,160.01,22.23,137.78,--,--,137.78,77.01,"4,148.96",75.00,17.89,17.89,17.89,17.89,--,--,--,--,--,--,--,--,BIRLA CORP
Mar '18,"3,723.97",--,"3,723.97",633.66,0.45,34.12,863.46,264.51,146.05,--,--,--,--,--,"1,585.18",196.54,78.88,275.42,165.21,110.21,-12.48,97.73,-17.40,115.13,--,--,115.13,77.01,"4,051.44",65.00,14.95,14.95,14.95,14.95,--,--,--,--,--,--,--,--,BIRLA CORP
Mar '17,"3,345.12",--,"3,345.12",589.37,--,25.27,724.11,264.53,147.19,--,--,--,--,--,"1,370.61",224.04,144.53,368.57,139.23,229.34,-6.82,222.52,8.52,214.00,--,--,214.00,77.01,"3,097.12",65.00,27.79,27.79,27.79,27.79,--,--,--,--,--,--,--,--,BIRLA CORP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRLA CORP
Mar '21,"1,640.53",--,"1,640.53",--,--,--,--,"1,054.93",69.94,--,--,--,--,--,230.15,285.51,11.95,297.46,10.24,287.22,--,287.22,93.67,193.56,--,--,193.56,55.46,"1,337.58",175.00,6.96,6.81,6.96,6.81,--,--,--,--,--,--,--,--,BIRLASOFT
Mar '20,"1,462.16",--,"1,462.16",--,--,--,--,943.50,69.26,--,--,--,--,--,249.14,200.26,34.95,235.21,12.35,222.87,--,222.87,82.11,140.75,--,--,140.75,55.34,"1,156.23",100.00,5.09,5.05,5.09,5.05,--,--,--,--,--,--,--,--,BIRLASOFT
Mar '19,"1,001.99",--,"1,001.99",--,--,--,--,627.50,39.02,--,--,--,--,--,209.91,125.55,24.89,150.44,5.38,145.06,--,145.06,39.16,105.90,--,61.73,167.63,54.83,"1,129.40",100.00,7.83,7.74,7.83,7.74,--,--,--,--,--,--,--,--,BIRLASOFT
Mar '18,"1,442.29",--,"1,442.29",5.91,--,0.10,--,924.18,72.53,--,--,--,--,--,278.71,160.86,42.08,202.94,4.83,198.11,2.56,200.66,23.11,177.55,--,--,177.55,37.90,"1,466.33",120.00,9.22,8.91,9.22,8.91,--,--,--,--,--,--,--,--,BIRLASOFT
Mar '17,"1,319.56",--,"1,319.56",23.30,--,0.66,--,796.54,71.14,--,--,--,--,--,237.07,190.84,15.94,206.78,8.54,198.24,--,198.24,28.95,169.29,--,--,169.29,37.64,"1,336.68",110.00,8.83,8.47,8.83,8.47,--,--,--,--,--,--,--,--,BIRLASOFT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRLASOFT
Mar '21,"3,279.70",--,"3,279.70",--,--,--,--,566.83,200.67,--,--,--,--,--,"2,336.24",175.96,12.66,188.62,31.72,156.90,-25.85,131.05,34.74,96.31,--,--,96.31,23.73,655.42,150.00,40.59,40.59,40.59,40.59,--,--,--,--,--,--,--,--,BLUE DART
Mar '20,"3,166.39",--,"3,166.39",--,--,--,--,574.00,152.80,--,--,--,--,--,"2,404.55",35.04,14.01,49.05,32.14,16.91,-64.11,-47.20,-8.91,-38.29,--,--,-38.29,23.73,559.74,--,-16.14,-16.14,-16.14,-16.14,--,--,--,--,--,--,--,--,BLUE DART
Mar '19,"3,165.46",--,"3,165.46",--,--,--,--,550.09,47.96,--,--,--,--,--,"2,441.92",125.49,18.21,143.70,15.35,128.35,--,128.35,40.75,87.60,--,--,87.60,23.73,641.01,125.00,36.92,36.92,36.92,36.92,--,--,--,--,--,--,--,--,BLUE DART
Mar '18,"2,790.85",--,"2,790.85",--,--,--,--,449.85,44.98,--,--,--,--,--,"2,081.19",214.83,22.54,237.37,25.59,211.78,--,211.78,69.68,142.10,--,--,142.10,23.73,597.49,125.00,59.89,59.89,59.89,59.89,--,--,--,--,--,--,--,--,BLUE DART
Mar '17,"2,680.87",--,"2,680.87",--,--,--,--,426.35,43.93,--,--,--,--,--,"1,990.10",220.49,27.82,248.31,31.25,217.06,--,217.06,77.49,139.57,--,--,139.57,23.73,497.96,150.00,58.82,58.82,58.82,58.82,--,--,--,--,--,--,--,--,BLUE DART
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE DART
Mar '21,"3,842.23",--,"3,842.23","2,216.38",733.18,25.49,--,325.23,88.34,--,--,--,--,--,349.54,104.07,62.17,166.24,67.89,98.35,--,98.35,32.42,65.93,--,--,65.93,19.26,899.83,200.00,6.85,6.85,6.85,6.85,--,--,--,--,--,--,--,--,BLUE STAR
Mar '20,"4,786.49",--,"4,786.49","2,866.96",738.98,0.53,--,414.95,84.34,--,--,--,--,--,550.09,130.64,73.43,204.07,32.37,171.70,-4.03,167.67,46.80,120.87,--,--,120.87,19.26,830.43,500.00,12.55,12.55,12.55,12.55,--,--,--,--,--,--,--,--,BLUE STAR
Mar '19,"4,783.70",--,"4,783.70","2,638.31",790.74,166.99,--,372.69,69.18,--,--,--,--,--,517.68,228.11,23.11,251.22,44.92,206.30,-26.45,179.85,58.06,121.79,--,--,121.79,19.26,941.74,500.00,12.66,12.65,12.66,12.65,--,--,--,--,--,--,--,--,BLUE STAR
Mar '18,"4,415.97",--,"4,415.97","2,141.79","1,060.59",-193.46,--,358.77,60.57,--,--,--,--,--,803.07,184.64,16.14,200.78,22.88,177.90,17.85,195.75,53.82,141.93,--,--,141.93,19.20,929.05,500.00,14.82,14.76,14.82,14.76,--,--,--,--,--,--,--,--,BLUE STAR
Mar '17,"4,112.09",21.25,"4,133.34","2,069.03",859.92,-21.09,--,309.78,54.97,--,--,--,--,--,694.97,165.76,13.13,178.89,30.61,148.28,--,148.28,36.31,111.97,--,--,111.97,19.11,898.65,375.00,11.73,11.68,11.73,11.68,--,--,--,--,--,--,--,--,BLUE STAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE STAR
Mar '21,204.11,3.57,207.69,76.38,1.23,0.43,--,82.95,8.70,--,--,--,--,--,66.42,-28.44,107.46,79.02,75.23,3.79,--,3.79,0.99,2.80,--,--,2.80,13.95,215.51,60.00,0.40,0.40,0.40,0.40,--,--,--,--,--,--,--,--,BOMBAY BURMAH
Mar '20,210.14,3.76,213.90,87.24,3.18,2.40,--,88.23,9.14,--,--,--,--,--,72.35,-48.63,68.91,20.28,38.01,-17.73,--,-17.73,-0.70,-17.03,--,--,-17.03,13.95,219.83,60.00,-2.44,-2.44,-2.44,-2.44,--,--,--,--,--,--,--,--,BOMBAY BURMAH
Mar '19,237.98,3.98,241.96,99.68,9.54,-22.70,--,90.56,8.34,--,--,--,--,--,76.39,-19.84,34.82,14.98,33.65,-18.67,--,-18.67,1.03,-19.70,--,--,-19.70,13.95,243.06,50.00,-2.82,-2.82,-2.82,-2.82,--,--,--,--,--,--,--,--,BOMBAY BURMAH
Mar '18,204.18,3.72,207.90,75.53,3.94,-2.36,--,84.18,9.16,--,--,--,--,--,74.91,-37.46,37.56,0.10,31.02,-30.92,--,-30.92,-5.09,-25.83,--,--,-25.83,13.95,276.90,50.00,-3.70,-3.70,-3.70,-3.70,--,--,--,--,--,--,--,--,BOMBAY BURMAH
Mar '17,255.16,6.73,261.89,80.53,3.32,33.52,--,76.26,8.29,--,--,--,--,--,77.74,-17.77,47.89,30.12,33.68,-3.56,--,-3.56,-0.36,-3.20,--,--,-3.20,13.95,313.18,50.00,-0.46,-0.46,-0.46,-0.46,--,--,--,--,--,--,--,--,BOMBAY BURMAH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOMBAY BURMAH
Mar '21,"9,718.03",--,"9,718.03","2,335.51","3,589.39",-152.29,--,931.61,341.44,--,--,--,--,--,"1,851.35",821.02,503.97,"1,324.99",14.02,"1,310.97",-743.85,567.12,84.62,482.50,--,--,482.50,29.49,"9,792.60","1,150.00",163.60,163.60,163.60,163.60,--,--,--,--,--,--,--,--,BOSCH
Mar '20,"9,841.63",--,"9,841.63","2,304.68","2,781.28",223.39,--,"1,268.53",383.28,--,--,--,--,--,"1,780.43","1,100.04",546.56,"1,646.60",10.16,"1,636.44",-716.75,919.69,190.06,729.63,--,-79.81,649.82,29.49,"9,239.90","1,050.00",220.40,220.40,220.40,220.40,--,--,--,--,--,--,--,--,BOSCH
Mar '19,"12,257.91",--,"12,257.91","2,992.39","3,968.00",-185.34,--,"1,370.42",404.50,--,--,--,--,--,"1,948.90","1,759.04",595.29,"2,354.33",13.30,"2,341.03",--,"2,341.03",742.99,"1,598.04",--,--,"1,598.04",29.49,"9,096.70","1,050.00",525.20,525.20,525.20,525.20,--,--,--,--,--,--,--,--,BOSCH
Mar '18,"11,690.15",--,"11,690.15","2,734.10","3,527.84",39.50,--,"1,356.46",467.20,--,--,--,--,--,"1,939.05","1,626.00",511.78,"2,137.78",3.30,"2,134.48",-93.89,"2,040.59",669.87,"1,370.72",--,--,"1,370.72",30.52,"9,950.80","1,000.00",449.10,449.10,449.10,449.10,--,--,--,--,--,--,--,--,BOSCH
Mar '17,"10,175.94",259.18,"10,435.12","3,006.96","2,421.87",-119.66,--,"1,342.76",456.23,--,--,--,--,--,"1,822.83","1,504.13",617.39,"2,121.52",27.15,"2,094.37",--,"2,094.37",650.30,"1,444.07",--,297.05,"1,741.12",30.52,"8,769.10","1,650.00",560.90,560.90,560.90,560.90,--,--,--,--,--,--,--,--,BOSCH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSCH
Mar '21,"232,545.12",--,"232,545.12","71,153.56","127,800.87","-3,633.57",--,"4,477.17","3,978.05",--,--,--,--,--,"15,616.46","13,152.58","4,344.45","17,497.03","1,328.36","16,168.67","6,448.91","22,617.58","3,575.91","19,041.67",--,--,"19,041.67","2,092.91","51,595.15",790.00,96.44,96.12,96.44,96.12,--,--,--,--,--,--,--,--,BPCL
Mar '20,"284,382.95",--,"284,382.95","113,229.30","143,164.25",-456.62,--,"3,691.45","3,786.89",--,--,--,--,--,"18,115.26","2,852.42","3,081.31","5,933.73","2,181.86","3,751.87","-1,080.83","2,671.04",-12.15,"2,683.19",--,--,"2,683.19","1,966.88","31,247.50",165.00,13.64,13.64,13.64,13.64,--,--,--,--,--,--,--,--,BPCL
Mar '19,"297,275.05",--,"297,275.05","119,419.22","146,974.06","-1,703.06",--,"3,664.18","3,189.28",--,--,--,--,--,"16,956.39","8,774.98","2,983.60","11,758.58","1,318.96","10,439.62",--,"10,439.62","3,307.60","7,132.02",--,--,"7,132.02","1,966.88","34,770.80",190.00,36.26,36.26,36.26,36.26,--,--,--,--,--,--,--,--,BPCL
Mar '18,"236,313.10",--,"236,313.10","81,467.45","125,462.73",320.60,--,"3,430.98","2,648.48",--,--,--,--,--,"13,962.48","9,020.38","3,010.88","12,031.26",833.25,"11,198.01",--,"11,198.01","3,278.67","7,919.34",--,--,"7,919.34","1,966.88","32,164.61",210.00,40.26,40.26,40.26,40.26,--,--,--,--,--,--,--,--,BPCL
Mar '17,"202,210.57",--,"202,210.57","67,710.71","114,220.09","-5,577.61",--,"3,429.46","1,891.32",--,--,--,--,--,"11,598.62","8,937.98","2,600.68","11,538.66",495.87,"11,042.79",--,"11,042.79","3,003.49","8,039.30",--,--,"8,039.30","1,311.25","28,357.13",325.00,61.31,61.31,61.31,61.31,--,--,--,--,--,--,--,--,BPCL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPCL
Mar '21,"1,523.98",--,"1,523.98",28.32,--,-96.05,--,89.72,86.58,--,--,--,--,--,"1,099.58",315.83,112.95,428.78,197.59,231.19,-53.50,177.69,33.13,144.56,--,--,144.56,210.91,"2,566.38",12.00,6.99,6.96,6.99,6.96,--,--,--,--,--,--,--,--,BRIGADE ENT
